Date,Open,High,Low,Close,Adj Close,Volume
2013-04-04,63.240002,63.240002,62.639999,62.919998,24.687744,275
2013-04-05,63.200001,63.200001,62.639999,62.840000,24.656355,525
2013-04-08,63.720001,63.720001,62.439999,63.200001,24.797607,5050
2013-04-09,62.040001,62.480000,61.200001,61.200001,24.012873,3675
2013-04-10,60.599998,61.080002,60.080002,60.080002,23.573420,1825
2013-04-11,60.560001,61.040001,59.919998,60.599998,23.777454,975
2013-04-12,60.360001,60.439999,60.000000,60.360001,23.683285,1050
2013-04-15,60.639999,60.639999,59.200001,59.200001,23.228140,2275
2013-04-16,59.919998,59.919998,59.639999,59.639999,23.400778,250
2013-04-17,58.840000,59.520000,58.160000,58.599998,22.992718,925
2013-04-18,58.320000,58.320000,58.320000,58.320000,22.882856,25
2013-04-19,58.320000,59.119999,58.320000,59.119999,23.196747,300
2013-04-22,59.520000,59.520000,59.000000,59.080002,23.181057,1000
2013-04-23,59.320000,59.320000,59.000000,59.000000,23.149666,1200
2013-04-24,59.480000,59.599998,59.480000,59.599998,23.385084,450
2013-04-25,59.400002,59.599998,59.119999,59.119999,23.196747,625
2013-04-26,59.639999,60.160000,59.200001,59.560001,23.369389,875
2013-04-29,59.560001,60.320000,59.200001,59.560001,23.369389,725
2013-04-30,60.160000,60.520000,59.799999,60.080002,23.573420,975
2013-05-01,59.880001,59.919998,59.000000,59.000000,23.149666,1375
2013-05-02,60.119999,60.200001,60.000000,60.000000,23.542034,825
2013-05-03,60.560001,60.880001,60.560001,60.759998,23.840231,525
2013-05-06,61.439999,61.799999,60.119999,60.799999,23.855923,7050
2013-05-07,61.000000,61.560001,60.799999,60.799999,23.855923,1475
2013-05-08,62.639999,62.799999,62.000000,62.040001,24.342461,3550
2013-05-09,62.400002,63.360001,62.080002,63.160000,24.781912,9500
2013-05-10,63.400002,63.759998,62.400002,62.599998,24.562185,7250
2013-05-13,62.720001,63.360001,62.400002,62.639999,24.577883,5075
2013-05-14,63.279999,63.759998,62.599998,63.119999,24.766218,15000
2013-05-15,63.480000,63.599998,62.480000,63.520000,24.923166,650
2013-05-16,63.560001,63.639999,63.240002,63.400002,24.876083,1000
2013-05-17,63.320000,63.840000,63.320000,63.720001,25.001640,1625
2013-05-20,64.000000,64.199997,63.959999,64.120003,25.158587,3500
2013-05-21,64.279999,64.800003,64.199997,64.720001,25.394009,2250
2013-05-22,64.599998,65.000000,64.000000,64.000000,25.111504,5200
2013-05-23,64.000000,64.720001,62.360001,64.720001,25.394009,3300
2013-05-24,64.599998,64.919998,64.599998,64.919998,25.472477,5075
2013-05-28,64.800003,65.000000,63.959999,64.839996,25.441090,4975
2013-05-29,64.879997,64.919998,64.000000,64.599998,25.346918,5875
2013-05-30,67.120003,67.120003,65.360001,65.440002,25.676510,6525
2013-05-31,66.199997,66.199997,64.320000,64.320000,25.237059,2875
2013-06-03,65.279999,65.279999,64.080002,64.639999,25.362616,975
2013-06-04,66.080002,66.080002,64.440002,64.680000,25.378309,1775
2013-06-05,65.959999,65.959999,65.080002,65.080002,25.535255,450
2013-06-06,65.680000,65.680000,65.080002,65.239998,25.598034,600
2013-06-07,65.879997,65.879997,64.599998,64.919998,25.472477,1225
2013-06-10,66.800003,67.279999,65.239998,65.480003,25.692209,23125
2013-06-11,65.239998,66.160004,65.120003,65.440002,25.676510,2950
2013-06-12,66.959999,66.959999,64.199997,64.199997,25.189974,2475
2013-06-13,62.000000,62.360001,60.200001,61.400002,24.091349,3300
2013-06-14,60.599998,60.919998,60.000000,60.240002,23.636200,2100
2013-06-17,59.759998,60.240002,59.759998,60.000000,23.542034,1200
